name	group	strand	number_of_isoforms	isoforms	number_of_isoforms_with_annotated_domain	isoforms_with_annotated_domain	longest_isoform_with_annotated_domain	number_of_exon_for_longest_isoform_with_annotated_domain	domain_position_on_longest_isoform_with_annotated_domain	domain_position_on_longest_isoform_with_annotated_domain_percentage	DIFF	EXPR	number_of_assays
MAK	CMGC	-	7	"uc003mzm.3;uc010jot.3;uc010jou.3;uc010jov.2;uc021ylk.1;uc021yll.1;uc021ylm.1"	3	"uc003mzm.3;uc021ylk.1;uc021yll.1"	uc021ylk.1	15	exons-2-10	start-7%-end-64%	no	yes	1
MAP2K1	STE	+	2	"uc010bhq.3;uc010ujp.2"	2	"uc010bhq.3;uc010ujp.2"	"uc010bhq.3;uc010ujp.2"	11	exons-2-11	start-10%-end-100%	no	yes	1
MAP2K2	STE	-	2	"uc002lzj.3;uc002lzk.3"	2	"uc002lzj.3;uc002lzk.3"	uc002lzk.3	11	exons-2-11	start-10%-end-100%	yes	yes	3
MAP2K3	STE	+	4	"uc002gys.3;uc002gyt.3;uc021tsq.1;uc021tsr.1"	4	"uc002gys.3;uc002gyt.3;uc021tsq.1;uc021tsr.1"	"uc002gyt.3;uc021tsr.1"	13	exons-3-13	start-17%-end-100%	no	yes	1
MAP2K4	STE	+	4	"uc002gnj.3;uc002gnk.3;uc010vvi.2;uc010vvj.2"	4	"uc002gnj.3;uc002gnk.3;uc010vvi.2;uc010vvj.2"	uc002gnk.3	12	exons-3-12	start-18%-end-100%	no	yes	1
MAP2K5	STE	+	4	"uc002aqu.3;uc002aqv.3;uc002aqx.3;uc010ujw.2"	4	"uc002aqu.3;uc002aqv.3;uc002aqx.3;uc010ujw.2"	"uc002aqu.3;uc010ujw.2"	22	exons-6-22	start-24%-end-100%	yes	yes	3
MAP2K6	STE	+	3	"uc002jii.3;uc002jij.3;uc002jik.3"	3	"uc002jii.3;uc002jij.3;uc002jik.3"	uc002jij.3	12	exons-2-12	start-9%-end-100%	yes	yes	3
MAP2K7	STE	+	6	"uc002mis.1;uc002mit.3;uc002miv.2;uc010dvv.3;uc010xka.1;uc010xkb.2"	4	"uc002mit.3;uc002miv.2;uc010dvv.3;uc010xkb.2"	"uc002mit.3;uc002miv.2;uc010xkb.2"	11	exons-2-11	start-10%-end-100%	no	yes	1
MAP3K1	STE	+	1	uc003jqw.4	1	uc003jqw.4	uc003jqw.4	20	exons-14-20	start-68%-end-100%	yes	yes	2
MAP3K10	TKL	+	1	uc002ona.3	1	uc002ona.3	uc002ona.3	10	exons-1-5	start-0%-end-44%	yes	yes	2
MAP3K11	TKL	-	4	"uc001oev.3;uc001oew.3;uc001oex.1;uc010rol.2"	2	"uc001oew.3;uc010rol.2"	"uc001oew.3;uc010rol.2"	10	exons-1-5	start-0%-end-44%	yes	yes	2
MAP3K12	TKL	-	2	"uc001sdm.2;uc001sdn.2"	2	"uc001sdm.2;uc001sdn.2"	uc001sdm.2	15	exons-3-10	start-14%-end-64%	yes	yes	2
MAP3K13	TKL	+	7	"uc003fpg.4;uc003fph.4;uc003fpi.3;uc010hyf.3;uc010hyg.3;uc011brt.2;uc011bru.2"	6	"uc003fph.4;uc003fpi.3;uc010hyf.3;uc010hyg.3;uc011brt.2;uc011bru.2"	uc010hyf.3	15	exons-3-12	start-14%-end-79%	yes	yes	3
MAP3K14	STE	-	4	"uc002iiu.1;uc002iiv.1;uc002iiw.1;uc010daj.1"	3	"uc002iiu.1;uc002iiv.1;uc002iiw.1"	uc002iiw.1	17	exons-6-13	start-31%-end-75%	yes	yes	2
MAP3K15	STE	-	4	"uc004czi.2;uc004czj.2;uc004czk.2;uc022btq.1"	3	"uc004czj.2;uc004czk.2;uc022btq.1"	uc004czk.2	30	exons-15-23	start-48%-end-76%	yes	yes	2
MAP3K19	STE	-	9	"uc002tue.1;uc002tuf.1;uc002tuh.4;uc002tui.4;uc010fnc.1;uc010fnd.1;uc010fne.1;uc010zbg.1;uc021vpz.1"	7	"uc002tue.1;uc002tuf.1;uc002tuh.4;uc010fnc.1;uc010fnd.1;uc010zbg.1;uc021vpz.1"	uc002tue.1	10	exons-7-10	start-67%-end-100%	yes	yes	2
MAP3K2	STE	-	1	uc002toj.2	1	uc002toj.2	uc002toj.2	16	exons-11-16	start-67%-end-100%	yes	yes	2
MAP3K21	TKL	+	3	"uc001hvs.1;uc001hvt.4;uc001hvu.4"	2	"uc001hvs.1;uc001hvt.4"	uc001hvt.4	10	exons-1-7	start-0%-end-67%	no	yes	1
MAP3K3	STE	+	6	"uc002jbe.3;uc002jbf.3;uc002jbg.3;uc002jbh.3;uc010wpo.2;uc010wpp.2"	6	"uc002jbe.3;uc002jbf.3;uc002jbg.3;uc002jbh.3;uc010wpo.2;uc010wpp.2"	uc002jbe.3	18	exons-13-18	start-71%-end-100%	yes	yes	2
MAP3K4	STE	+	7	"uc003qtn.3;uc003qto.3;uc003qtp.3;uc003qtq.3;uc010kkc.2;uc011efz.2;uc011ega.2"	6	"uc003qtn.3;uc003qto.3;uc003qtp.3;uc003qtq.3;uc010kkc.2;uc011ega.2"	uc011ega.2	28	exons-21-28	start-74%-end-100%	yes	yes	2
MAP3K5	STE	-	4	"uc003qhc.3;uc010kgw.1;uc011edj.2;uc011edk.1"	3	"uc003qhc.3;uc011edj.2;uc011edk.1"	uc003qhc.3	30	exons-14-23	start-45%-end-76%	yes	yes	2
MAP3K6	STE	-	3	"uc001bny.1;uc001bnz.1;uc009vsw.1"	3	"uc001bny.1;uc001bnz.1;uc009vsw.1"	uc001bny.1	29	exons-13-22	start-43%-end-75%	yes	yes	2
MAP3K7	TKL	-	5	"uc003pny.2;uc003pnz.2;uc003poa.2;uc003pob.2;uc003poc.2"	4	"uc003pnz.2;uc003poa.2;uc003pob.2;uc003poc.2"	uc003pnz.2	17	exons-1-11	start-0%-end-62%	yes	yes	2
MAP3K8	STE	+	3	"uc001ivi.2;uc001ivj.2;uc009xlf.2"	3	"uc001ivi.2;uc001ivj.2;uc009xlf.2"	uc001ivi.2	9	exons-3-9	start-25%-end-100%	no	yes	1
MAP3K9	TKL	-	4	"uc001xmk.3;uc001xml.3;uc001xmm.3;uc010ttk.2"	4	"uc001xmk.3;uc001xml.3;uc001xmm.3;uc010ttk.2"	uc001xml.3	13	exons-1-8	start-0%-end-58%	yes	yes	2
MAP4K1	STE	-	3	"uc002oix.1;uc002oiy.1;uc010xug.2"	2	"uc002oix.1;uc002oiy.1"	uc002oix.1	32	exons-1-16	start-0%-end-48%	yes	yes	2
MAP4K2	STE	-	3	"uc001obh.3;uc001obi.3;uc010rnp.1"	3	"uc001obh.3;uc001obi.3;uc010rnp.1"	"uc001obh.3;uc001obi.3"	32	exons-1-14	start-0%-end-42%	yes	yes	3
MAP4K3	STE	-	3	"uc002rro.4;uc002rrp.4;uc010yns.3"	2	"uc002rro.4;uc002rrp.4"	uc002rro.4	34	exons-1-21	start-0%-end-61%	yes	yes	2
MAP4K4	STE	+	13	"uc002tbc.3;uc002tbd.3;uc002tbf.3;uc002tbg.3;uc002tbh.3;uc002tbi.3;uc002tbj.1;uc002tbk.3;uc002tbl.3;uc010fiw.1;uc010yvy.2;uc010yvz.2;uc021vlq.1"	10	"uc002tbc.3;uc002tbd.3;uc002tbf.3;uc002tbg.3;uc002tbh.3;uc002tbi.3;uc002tbj.1;uc010fiw.1;uc010yvy.2;uc010yvz.2"	uc002tbc.3	32	exons-1-18	start-0%-end-55%	yes	yes	3
MAP4K5	STE	-	4	"uc001wya.3;uc001wyb.3;uc001wyc.1;uc010anv.1"	3	"uc001wya.3;uc001wyb.3;uc010anv.1"	"uc001wya.3;uc001wyb.3"	32	exons-2-19	start-3%-end-58%	yes	yes	2
MAPK1	CMGC	-	3	"uc002zvn.3;uc002zvo.3;uc010gtk.1"	3	"uc002zvn.3;uc002zvo.3;uc010gtk.1"	uc002zvn.3	9	exons-1-8	start-0%-end-88%	no	yes	1
MAPK10	CMGC	-	11	"uc003hpn.3;uc003hpo.3;uc003hpp.3;uc003hpr.3;uc003hps.3;uc003hpt.3;uc003hpu.3;uc003hpv.3;uc010ikg.3;uc010ikh.1;uc011ccw.2"	10	"uc003hpn.3;uc003hpo.3;uc003hpp.3;uc003hpr.3;uc003hps.3;uc003hpt.3;uc003hpu.3;uc003hpv.3;uc010ikg.3;uc011ccw.2"	"uc003hpr.3;uc003hps.3;uc003hpt.3;uc003hpu.3;uc003hpv.3;uc010ikg.3"	14	exons-4-14	start-23%-end-100%	no	yes	1
MAPK11	CMGC	-	4	"uc003bkr.3;uc010hay.1;uc010haz.2;uc011art.1"	3	"uc003bkr.3;uc010haz.2;uc011art.1"	uc003bkr.3	12	exons-1-12	start-0%-end-100%	no	yes	1
MAPK12	CMGC	-	5	"uc003bkl.1;uc003bkm.1;uc003bko.2;uc003bkq.2;uc010haw.3"	5	"uc003bkl.1;uc003bkm.1;uc003bko.2;uc003bkq.2;uc010haw.3"	uc003bkm.1	12	exons-1-12	start-0%-end-100%	no	yes	1
MAPK13	CMGC	+	2	"uc003ols.4;uc003olt.4"	1	uc003ols.4	uc003ols.4	12	exons-1-12	start-0%-end-100%	no	yes	1
MAPK14	CMGC	+	6	"uc003olo.3;uc003olp.3;uc003olq.3;uc003olr.3;uc011dth.2;uc011dti.2"	6	"uc003olo.3;uc003olp.3;uc003olq.3;uc003olr.3;uc011dth.2;uc011dti.2"	uc011dti.2	13	exons-3-13	start-17%-end-100%	no	yes	1
MAPK15	CMGC	+	1	uc003yzj.3	1	uc003yzj.3	uc003yzj.3	14	exons-1-11	start-0%-end-77%	no	yes	1
MAPK3	CMGC	-	4	"uc002dwr.3;uc002dws.3;uc002dwt.3;uc002dwv.4"	4	"uc002dwr.3;uc002dws.3;uc002dwt.3;uc002dwv.4"	uc002dws.3	9	exons-1-8	start-0%-end-88%	yes	yes	2
MAPK4	CMGC	+	4	"uc002lev.3;uc010doz.3;uc010xdm.2;uc031rig.1"	4	"uc002lev.3;uc010doz.3;uc010xdm.2;uc031rig.1"	uc002lev.3	6	exons-2-6	start-20%-end-100%	yes	yes	2
MAPK6	CMGC	+	1	uc002abp.3	1	uc002abp.3	uc002abp.3	6	exons-2-6	start-20%-end-100%	yes	yes	2
MAPK7	CMGC	+	4	"uc002gvn.3;uc002gvo.3;uc002gvp.3;uc002gvq.3"	4	"uc002gvn.3;uc002gvo.3;uc002gvp.3;uc002gvq.3"	"uc002gvn.3;uc002gvp.3;uc002gvq.3"	7	exons-2-4	start-17%-end-50%	yes	yes	2
MAPK8	CMGC	+	8	"uc001jgm.3;uc001jgn.3;uc001jgo.3;uc001jgp.3;uc001jgq.3;uc009xoa.3;uc010qgk.2;uc021ppy.1"	8	"uc001jgm.3;uc001jgn.3;uc001jgo.3;uc001jgp.3;uc001jgq.3;uc009xoa.3;uc010qgk.2;uc021ppy.1"	uc001jgn.3	12	exons-2-12	start-9%-end-100%	no	yes	1
MAPK9	CMGC	-	9	"uc003mls.4;uc003mlt.4;uc003mlv.4;uc010jlc.3;uc011dgx.2;uc021yji.1;uc021yjj.1;uc021yjk.1;uc021yjl.1"	9	"uc003mls.4;uc003mlt.4;uc003mlv.4;uc010jlc.3;uc011dgx.2;uc021yji.1;uc021yjj.1;uc021yjk.1;uc021yjl.1"	"uc003mls.4;uc003mlt.4;uc003mlv.4;uc010jlc.3"	12	exons-2-12	start-9%-end-100%	no	yes	1
MAPKAPK2	CAMK	+	2	"uc001hel.2;uc001hem.2"	2	"uc001hel.2;uc001hem.2"	"uc001hel.2;uc001hem.2"	10	exons-1-10	start-0%-end-100%	no	yes	1
MAPKAPK3	CAMK	+	4	"uc003day.2;uc003daz.2;uc003dba.2;uc010hlr.2"	4	"uc003day.2;uc003daz.2;uc003dba.2;uc010hlr.2"	uc003day.2	13	exons-4-13	start-25%-end-100%	no	yes	1
MAPKAPK5	CAMK	+	2	"uc001tsz.4;uc001tta.4"	2	"uc001tsz.4;uc001tta.4"	"uc001tsz.4;uc001tta.4"	14	exons-1-12	start-0%-end-85%	yes	yes	2
MARK1	CAMK	+	5	"uc001hml.3;uc001hmm.4;uc001hmn.4;uc009xdw.3;uc010pun.2"	5	"uc001hml.3;uc001hmm.4;uc001hmn.4;uc009xdw.3;uc010pun.2"	"uc001hmn.4;uc009xdw.3"	18	exons-2-13	start-6%-end-71%	yes	yes	3
MARK2	CAMK	+	7	"uc001nxv.4;uc001nxw.3;uc001nxx.3;uc001nxy.3;uc001nxz.4;uc009yox.2;uc009yoy.3"	7	"uc001nxv.4;uc001nxw.3;uc001nxx.3;uc001nxy.3;uc001nxz.4;uc009yox.2;uc009yoy.3"	uc001nxw.3	19	exons-1-12	start-0%-end-61%	yes	yes	2
MARK3	CAMK	+	10	"uc001ymw.4;uc001ymx.4;uc001ymy.4;uc001ymz.4;uc001yna.4;uc001ynd.3;uc010awp.3;uc010awq.3;uc010tyb.2;uc021sef.1"	8	"uc001ymw.4;uc001ymx.4;uc001ymy.4;uc001ymz.4;uc001yna.4;uc010awp.3;uc010tyb.2;uc021sef.1"	uc001ymz.4	18	exons-1-12	start-0%-end-65%	yes	yes	2
MARK4	CAMK	+	4	"uc002paz.2;uc002pba.2;uc002pbb.2;uc002pbc.1"	3	"uc002pba.2;uc002pbb.2;uc002pbc.1"	uc002pba.2	18	exons-2-13	start-6%-end-71%	yes	yes	3
MAST1	AGC	+	2	"uc002mvm.3;uc021upp.1"	2	"uc002mvm.3;uc021upp.1"	uc002mvm.3	26	exons-9-19	start-32%-end-72%	yes	yes	2
MAST2	AGC	+	7	"uc001cov.3;uc001cow.3;uc001cox.1;uc001coy.1;uc001coz.1;uc001cpa.3;uc009vya.3"	5	"uc001cov.3;uc001cow.3;uc001coy.1;uc001coz.1;uc009vya.3"	"uc001cov.3;uc001cow.3"	29	exons-12-22	start-39%-end-75%	no	yes	1
MAST3	AGC	+	1	uc002nhz.4	1	uc002nhz.4	uc002nhz.4	27	exons-10-20	start-35%-end-73%	yes	yes	2
MAST4	AGC	+	10	"uc003jur.4;uc003jus.3;uc003jut.2;uc003juu.1;uc003juv.2;uc003juw.3;uc010iwz.3;uc010ixa.2;uc011cra.1;uc021xzk.1"	6	"uc003jut.2;uc003juu.1;uc003juv.2;uc003juw.3;uc011cra.1;uc021xzk.1"	uc021xzk.1	29	exons-13-29	start-43%-end-100%	yes	yes	2
MASTL	AGC	+	4	"uc001itl.3;uc001itm.3;uc009xkw.2;uc009xkx.2"	3	"uc001itl.3;uc001itm.3;uc009xkw.2"	"uc001itl.3;uc001itm.3"	12	exons-1-12	start-0%-end-100%	no	yes	1
MATK	NRTK	-	4	"uc002lyt.3;uc002lyu.3;uc002lyv.3;uc010dtq.3"	4	"uc002lyt.3;uc002lyu.3;uc002lyv.3;uc010dtq.3"	"uc002lyt.3;uc002lyv.3;uc010dtq.3"	14	exons-6-14	start-38%-end-100%	yes	yes	2
MELK	CAMK	+	11	"uc003zzn.4;uc010mll.4;uc010mlm.4;uc011lpm.3;uc011lpn.3;uc011lpo.3;uc011lpp.3;uc011lpq.3;uc011lpr.3;uc011lps.3;uc022bgq.2"	10	"uc003zzn.4;uc010mll.4;uc010mlm.4;uc011lpm.3;uc011lpn.3;uc011lpo.3;uc011lpp.3;uc011lpq.3;uc011lpr.3;uc011lps.3"	"uc003zzn.4;uc011lpo.3"	18	exons-2-13	start-6%-end-71%	yes	yes	2
MERTK	RTK	+	2	"uc002thk.1;uc002thl.1"	2	"uc002thk.1;uc002thl.1"	"uc002thk.1;uc002thl.1"	19	exons-11-19	start-56%-end-100%	yes	yes	2
MET	RTK	+	16	"uc003vii.1;uc003vij.3;uc010lkg.3;uc010lkh.3;uc011kmz.1;uc011kna.1;uc011knb.1;uc011knc.1;uc011knd.2;uc011kne.2;uc011knf.2;uc011kng.1;uc011knh.1;uc011kni.2;uc011knj.2;uc022akk.1"	3	"uc003vij.3;uc010lkh.3;uc011knj.2"	"uc003vij.3;uc010lkh.3;uc011knj.2"	21	exons-15-21	start-70%-end-100%	yes	yes	2
MINK1	STE	+	7	"uc010vsk.2;uc010vsl.2;uc010vsm.2;uc010vsn.2;uc010vso.2;uc010vsp.2;uc031qyf.1"	5	"uc010vsk.2;uc010vsl.2;uc010vsm.2;uc010vsn.2;uc010vso.2"	"uc010vsk.2;uc010vsl.2;uc010vsm.2;uc010vso.2"	32	exons-1-16	start-0%-end-48%	yes	yes	2
MKNK1	CAMK	-	8	"uc001cqb.4;uc001cqc.4;uc001cqd.2;uc009vyi.4;uc009vyj.3;uc010omd.3;uc010ome.3;uc010omf.1"	8	"uc001cqb.4;uc001cqc.4;uc001cqd.2;uc009vyi.4;uc009vyj.3;uc010omd.3;uc010ome.3;uc010omf.1"	uc001cqb.4	14	exons-2-14	start-8%-end-100%	no	yes	1
MKNK2	CAMK	-	6	"uc002luq.1;uc002lur.2;uc002lus.2;uc002lut.1;uc010xgu.1;uc010xgv.1"	6	"uc002luq.1;uc002lur.2;uc002lus.2;uc002lut.1;uc010xgu.1;uc010xgv.1"	"uc002lur.2;uc002lus.2"	14	exons-3-14	start-15%-end-100%	no	yes	1
MLKL	TKL	-	2	"uc002fdb.2;uc002fdc.2"	1	uc002fdb.2	uc002fdb.2	11	exons-3-11	start-20%-end-100%	yes	yes	2
MOK	CMGC	-	7	"uc001ylh.4;uc001ylj.4;uc001ylk.4;uc001yll.4;uc001ylm.4;uc001yln.4;uc010txv.3"	3	"uc001ylm.4;uc001yln.4;uc010txv.3"	uc001ylm.4	12	exons-1-12	start-0%-end-100%	no	yes	1
MOS	OTHER	-	1	uc011leb.2	1	uc011leb.2	uc011leb.2	1	exons-1-1	start-0%-end-100%	no	yes	1
MST1R	RTK	-	8	"uc003cxy.4;uc011bdc.2;uc011bdd.2;uc011bde.1;uc011bdf.1;uc011bdg.2;uc031rzv.1;uc031rzw.1"	4	"uc003cxy.4;uc011bdc.2;uc031rzv.1;uc031rzw.1"	uc003cxy.4	20	exons-14-20	start-68%-end-100%	yes	yes	2
MST4	STE	+	5	"uc004ewk.1;uc004ewl.1;uc004ewm.1;uc010nrj.1;uc011mux.1"	5	"uc004ewk.1;uc004ewl.1;uc004ewm.1;uc010nrj.1;uc011mux.1"	uc011mux.1	13	exons-2-12	start-8%-end-92%	no	yes	1
MTOR	ATYPICAL	-	2	"uc001asc.3;uc001asd.3"	2	"uc001asc.3;uc001asd.3"	uc001asd.3	58	exons-45-55	start-77%-end-95%	yes	yes	2
MUSK	RTK	+	4	"uc004bez.2;uc022blt.1;uc022blu.1;uc022blv.1"	4	"uc004bez.2;uc022blt.1;uc022blu.1;uc022blv.1"	uc022blv.1	15	exons-13-15	start-86%-end-100%	yes	yes	2
MYLK	CAMK	-	13	"uc003egl.3;uc003egm.3;uc003ego.3;uc003egp.3;uc003egq.3;uc003egr.3;uc003egs.3;uc003egt.3;uc003egu.1;uc010hrr.3;uc010hrs.1;uc011bjv.2;uc011bjw.2"	8	"uc003ego.3;uc003egp.3;uc003egq.3;uc003egr.3;uc003egs.3;uc010hrr.3;uc011bjv.2;uc011bjw.2"	uc003ego.3	34	exons-24-33	start-70%-end-97%	yes	yes	2
MYLK2	CAMK	+	3	"uc002wwq.2;uc002wws.2;uc010gdw.1"	2	"uc002wwq.2;uc002wws.2"	uc002wwq.2	13	exons-4-13	start-25%-end-100%	yes	yes	3
MYLK3	CAMK	-	3	"uc002eei.4;uc002eej.1;uc010vge.2"	3	"uc002eei.4;uc002eej.1;uc010vge.2"	uc002eei.4	13	exons-4-13	start-25%-end-100%	no	yes	1
MYLK4	CAMK	-	2	"uc003mtx.4;uc003mty.4"	2	"uc003mtx.4;uc003mty.4"	uc003mty.4	13	exons-3-12	start-17%-end-92%	no	yes	1
MYO3A	STE	+	5	"uc001ism.2;uc001isn.2;uc009xko.1;uc009xkp.1;uc009xkq.1"	4	"uc001ism.2;uc001isn.2;uc009xko.1;uc009xkq.1"	uc001isn.2	35	exons-3-35	start-6%-end-100%	yes	yes	2
MYO3B	STE	+	8	"uc002ufv.4;uc002ufw.3;uc002ufx.3;uc002ufy.3;uc002ufz.3;uc002uga.3;uc002ugb.3;uc010fqb.2"	4	"uc002ufv.4;uc002ufy.3;uc002ufz.3;uc002uga.3"	uc002ufy.3	35	exons-1-12	start-0%-end-32%	yes	yes	3
NEK1	OTHER	-	6	"uc003isb.2;uc003isc.2;uc003isd.2;uc003ise.2;uc003isf.2;uc003isg.1"	6	"uc003isb.2;uc003isc.2;uc003isd.2;uc003ise.2;uc003isf.2;uc003isg.1"	uc003isd.2	36	exons-3-13	start-6%-end-34%	yes	yes	3
NEK10	OTHER	-	5	"uc003cds.1;uc003cdt.2;uc010hfj.3;uc010hfk.3;uc021wuk.1"	4	"uc003cds.1;uc003cdt.2;uc010hfj.3;uc010hfk.3"	uc003cdt.2	25	exons-18-24	start-71%-end-96%	no	yes	1
NEK11	OTHER	+	9	"uc003enw.1;uc003enx.3;uc003eny.3;uc003enz.3;uc003eoa.3;uc010hto.2;uc011blk.2;uc011bll.2;uc011blm.2"	9	"uc003enw.1;uc003enx.3;uc003eny.3;uc003enz.3;uc003eoa.3;uc010hto.2;uc011blk.2;uc011bll.2;uc011blm.2"	"uc003eny.3;uc003enz.3"	18	exons-3-16	start-12%-end-88%	no	yes	1
NEK2	OTHER	-	5	"uc001hir.2;uc001his.4;uc001hit.2;uc021piq.1;uc021pir.1"	3	"uc001hir.2;uc001his.4;uc021piq.1"	"uc001hir.2;uc021piq.1"	8	exons-1-7	start-0%-end-86%	no	yes	1
NEK3	OTHER	-	4	"uc001vgh.3;uc001vgi.3;uc010tgx.2;uc010tgy.2"	3	"uc001vgh.3;uc001vgi.3;uc010tgy.2"	uc001vgi.3	17	exons-2-13	start-6%-end-75%	yes	yes	2
NEK4	OTHER	-	3	"uc003dfq.4;uc003dfr.3;uc011bej.2"	3	"uc003dfq.4;uc003dfr.3;uc011bej.2"	uc003dfq.4	16	exons-1-12	start-0%-end-73%	yes	yes	2
NEK5	OTHER	-	1	uc001vge.3	1	uc001vge.3	uc001vge.3	22	exons-3-13	start-10%-end-57%	yes	yes	2
NEK6	OTHER	+	7	"uc004bof.3;uc004bog.3;uc004boh.3;uc004boi.3;uc010mwk.3;uc022bnf.1;uc022bng.1"	7	"uc004bof.3;uc004bog.3;uc004boh.3;uc004boi.3;uc010mwk.3;uc022bnf.1;uc022bng.1"	"uc004boh.3;uc022bnf.1"	11	exons-3-11	start-20%-end-100%	no	yes	1
NEK7	OTHER	+	2	"uc001gun.4;uc021pgx.1"	2	"uc001gun.4;uc021pgx.1"	"uc001gun.4;uc021pgx.1"	10	exons-2-10	start-11%-end-100%	no	yes	1
NEK8	OTHER	+	1	uc002hcp.3	1	uc002hcp.3	uc002hcp.3	15	exons-1-7	start-0%-end-43%	yes	yes	2
NEK9	OTHER	-	3	"uc001xrj.3;uc001xrk.3;uc001xrl.3"	1	uc001xrl.3	uc001xrl.3	22	exons-1-11	start-0%-end-48%	yes	yes	2
NIM1	CAMK	+	2	"uc003jno.4;uc031sjg.1"	2	"uc003jno.4;uc031sjg.1"	"uc003jno.4;uc031sjg.1"	4	exons-2-4	start-33%-end-100%	no	yes	1
NLK	CMGC	+	1	uc010crj.3	1	uc010crj.3	uc010crj.3	11	exons-1-11	start-0%-end-100%	no	yes	1
NPR1	RGC	+	3	"uc001fcs.4;uc010pdz.2;uc010pea.2"	3	"uc001fcs.4;uc010pdz.2;uc010pea.2"	uc001fcs.4	22	exons-8-18	start-33%-end-81%	yes	yes	3
NPR2	RGC	+	2	"uc003zyd.3;uc010mlb.3"	2	"uc003zyd.3;uc010mlb.3"	uc003zyd.3	22	exons-8-17	start-33%-end-76%	yes	yes	2
NRBP1	OTHER	+	3	"uc002rko.3;uc002rkp.3;uc002rkr.3"	3	"uc002rko.3;uc002rkp.3;uc002rkr.3"	uc002rko.3	19	exons-3-15	start-11%-end-78%	yes	yes	2
NRBP2	OTHER	-	7	"uc003yzv.3;uc003yzw.3;uc003yzy.3;uc003yzz.1;uc010mfl.3;uc010mfm.3;uc011lkt.2"	6	"uc003yzv.3;uc003yzw.3;uc003yzy.3;uc010mfl.3;uc010mfm.3;uc011lkt.2"	uc011lkt.2	18	exons-1-14	start-0%-end-76%	yes	yes	2
NRK	STE	+	3	"uc004emd.3;uc010npc.1;uc011msi.2"	1	uc004emd.3	uc004emd.3	29	exons-1-13	start-0%-end-43%	yes	yes	2
NTRK1	RTK	+	5	"uc001fqf.1;uc001fqh.1;uc001fqi.1;uc009wsi.1;uc009wsk.1"	5	"uc001fqf.1;uc001fqh.1;uc001fqi.1;uc009wsi.1;uc009wsk.1"	"uc001fqf.1;uc001fqh.1"	17	exons-12-17	start-69%-end-100%	yes	yes	2
NTRK2	RTK	+	9	"uc004anv.1;uc004any.1;uc004anz.1;uc004aoa.1;uc004aob.1;uc004aoc.3;uc011lsz.2;uc011lta.2;uc011ltb.1"	3	"uc004any.1;uc004anz.1;uc004aoa.1"	uc004anz.1	21	exons-16-21	start-75%-end-100%	yes	yes	2
NTRK3	RTK	-	8	"uc002bme.2;uc002bmf.2;uc002bmg.3;uc002bmh.2;uc010bnh.1;uc010bni.2;uc010upl.1;uc021sua.1"	6	"uc002bme.2;uc002bmf.2;uc002bmh.2;uc010bnh.1;uc010upl.1;uc021sua.1"	uc002bme.2	20	exons-14-20	start-68%-end-100%	yes	yes	2
NUAK1	CAMK	-	1	uc001tlj.1	1	uc001tlj.1	uc001tlj.1	7	exons-1-7	start-0%-end-100%	no	yes	1
NUAK2	CAMK	-	2	"uc001hce.3;uc009xbj.1"	2	"uc001hce.3;uc009xbj.1"	uc001hce.3	7	exons-1-7	start-0%-end-100%	no	yes	1
OBSCN	CAMK	+	7	"uc001hsn.4;uc001hso.3;uc001hsp.2;uc001hsq.2;uc001hsr.1;uc009xez.2;uc009xfa.3"	3	"uc001hsq.2;uc001hsr.1;uc009xez.2"	uc001hsq.2	116	exons-95-105	start-82%-end-90%	yes	yes	2
OXSR1	STE	+	3	"uc003chy.3;uc010hha.1;uc010hhb.3"	3	"uc003chy.3;uc010hha.1;uc010hhb.3"	"uc003chy.3;uc010hhb.3"	18	exons-1-14	start-0%-end-76%	yes	yes	3
PAK1	STE	-	5	"uc001oyg.4;uc001oyh.4;uc001oyi.1;uc010rsn.2;uc010rso.2"	5	"uc001oyg.4;uc001oyh.4;uc001oyi.1;uc010rsn.2;uc010rso.2"	uc001oyg.4	16	exons-7-16	start-40%-end-100%	yes	yes	3
PAK2	STE	+	1	uc003fwy.4	1	uc003fwy.4	uc003fwy.4	15	exons-7-15	start-43%-end-100%	yes	yes	2
PAK3	STE	+	8	"uc004eoy.2;uc004eoz.2;uc004epa.2;uc010npt.1;uc010npu.1;uc010npv.1;uc010npw.1;uc011mst.1"	6	"uc004eoz.2;uc004epa.2;uc010npt.1;uc010npu.1;uc010npv.1;uc010npw.1"	uc004eoz.2	18	exons-10-18	start-53%-end-100%	yes	yes	2
PAK4	STE	+	6	"uc002okj.1;uc002okl.1;uc002okm.1;uc002okn.1;uc002oko.1;uc002okp.1"	6	"uc002okj.1;uc002okl.1;uc002okm.1;uc002okn.1;uc002oko.1;uc002okp.1"	uc002okj.1	11	exons-6-11	start-50%-end-100%	no	yes	1
PAK6	STE	+	5	"uc001zky.4;uc001zlb.3;uc010bbl.3;uc010bbm.3;uc010bbn.4"	5	"uc001zky.4;uc001zlb.3;uc010bbl.3;uc010bbm.3;uc010bbn.4"	"uc010bbl.3;uc010bbn.4"	11	exons-6-11	start-50%-end-100%	yes	yes	2
